Date,Lyxor PEA Monde (MSCI World) UCITS ETF - Capi
2000-09,283894.2370242159
2000-10,290609.08391207166
2000-11,264500.0409360991
2000-12,250776.69336492085
2001-01,255883.4270411924
2001-02,235330.9015682557
2001-03,230188.59087982355
2001-04,245948.56658533352
2001-05,254144.2620812977
2001-06,246122.3647262801
2001-07,235159.957768034
2001-08,213976.37392487534
2001-09,195646.74137398496
2001-10,201303.51646352172
2001-11,216618.4503101058
2001-12,220028.02719563473
2002-01,217651.71095042521
2002-02,215371.19342148458
2002-03,222974.28653305004
2002-04,208606.49359599047
2002-05,200569.8296489154
2002-06,177258.1470928213
2002-07,165458.5764672047
2002-08,164897.52659072768
2002-09,146335.40475027804
2002-10,157043.75018855676
2002-11,164436.51028306963
2002-12,148081.29943776835
2003-01,139183.29170073668
2003-02,137179.3111303831
2003-03,135332.0812226713
2003-04,144242.36465864847
2003-05,143585.43183815334
2003-06,151121.0296201618
2003-07,155646.7748329748
2003-08,164679.57879930089
2003-09,155350.89103944798
2003-10,164967.51648412176
2003-11,162261.36512273533
2003-12,163734.57434701943
2004-01,169641.99951431705
2004-02,172007.32883960582
2004-03,173581.44292370693
2004-04,174002.02594600993
2004-05,172026.7349025234
2004-06,176189.35443274525
2004-07,172060.0922930336
2004-08,171792.7495957058
2004-09,170828.2457036828
2004-10,170478.1537788694
2004-11,171910.75854492956
2004-12,174188.2226045792
2005-01,177889.83025244952
2005-02,180464.3190937343
2005-03,180969.52870648445
2005-04,177180.6206350206
2005-05,189559.5649211018
2005-06,194993.16339885094
2005-07,201758.27187193398
2005-08,201546.48363757448
2005-09,209443.5570538412
2005-10,204648.24869055176
2005-11,216068.0343454785
2005-12,220304.7117034792
2006-01,224004.8867252493
2006-02,228260.352768272
2006-03,228881.52881513862
2006-04,227717.59609340032
2006-05,214394.90481642794
2006-06,216954.3134387299
2006-07,217350.48175658222
2006-08,221563.72049497376
2006-09,227569.87562081305
2006-10,235214.36228844876
2006-11,231802.52378746792
2006-12,237029.43191351386
2007-01,243785.80315764033
2007-02,237806.5329074329
2007-03,240225.17712864
2007-04,245580.56671835209
2007-05,255464.2983666197
2007-06,252511.2433333485
2007-07,243236.17513399836
2007-08,243101.6665252439
2007-09,246138.01987714652
2007-10,248941.6361169692
2007-11,233703.9045369488
2007-12,231295.79019304528
2008-01,211444.0881354259
2008-02,206124.7924623518
2008-03,195841.38838185577
2008-04,209829.26725225744
2008-05,213651.75980381086
2008-06,193413.26771177462
2008-07,190513.75796561802
2008-08,199024.43557897932
2008-09,180662.78232278864
2008-10,164136.959817036
2008-11,153926.397769737
2008-12,145295.57781844624
2009-01,143947.0846958769
2009-02,131014.99200662517
2009-03,133889.6183996117
2009-04,149364.8500659096
2009-05,153509.88270582724
2009-06,152435.10770042366
2009-07,165288.0632111616
2009-08,170501.72168200955
2009-09,172799.02567165712
2009-10,167896.03974674383
2009-11,172183.47758158974
2009-12,182775.61564224455
2010-01,180709.19048769478
2010-02,188610.74805894803
2010-03,201678.73649851873
2010-04,204229.8329677403
2010-05,199925.60412933741
2010-06,193637.06155509801
2010-07,197147.53064205355
2010-08,195004.4911534873
2010-09,198063.78352128892
2010-10,202317.15558533533
2010-11,211056.65436150008
2010-12,220391.0207240726
2011-01,219906.00370202813
2011-02,225283.06226310605
2011-03,217221.2245501281
2011-04,216548.5261383348
2011-05,219203.66355323733
2011-06,214722.76248846776
2011-07,213660.00597907032
2011-08,196002.93451569765
2011-09,191642.83953157306
2011-10,203924.56033867435
2011-11,207635.19942801908
2011-12,215205.6063872038
2012-01,221921.56963748357
2012-02,228175.82038755898
2012-03,232655.6060532843
2012-04,232561.98945461752
2012-05,226529.68131992896
2012-06,234562.77339381326
2012-07,243475.1238273426
2012-08,243203.0597272338
2012-09,243734.48435953297
2012-10,240891.16441252548
2012-11,244147.10363485245
2012-12,244855.0848917001
2013-01,250548.85529220983
2013-02,259045.31989675452
2013-03,271861.00277201383
2013-04,274782.0771745957
2013-05,276422.9202420154
2013-06,268092.4941232199
2013-07,278037.62269223825
2013-08,272956.52005188685
2013-09,280880.24266899447
2013-10,288925.7382476341
2013-11,294734.57847162907
2013-12,297041.2548241355
2014-01,291815.96033816587
2014-02,299878.26287576713
2014-03,300915.16858913755
2014-04,302689.3341837329
2014-05,314333.5004864925
2014-06,318778.802348251
2014-07,320191.69462288334
2014-08,332000.0605887739
2014-09,338537.52825417573
2014-10,342287.058554808
2014-11,350326.84915967094
2014-12,354405.19171922456
2015-01,373673.4430304815
2015-02,397900.7840348625
2015-03,409302.28270474786
2015-04,401917.9916135535
2015-05,412507.98081075493
2015-06,395039.71794713597
2015-07,410256.92861927015
2015-08,374647.6499431244
2015-09,361244.38053880853
2015-10,396424.4425214611
2015-11,410834.96796464105
2015-12,392202.2595346391
2016-01,367576.9773100583
2016-02,366000.3397912303
2016-03,373894.7277475884
2016-04,379308.26183150185
2016-05,390167.57560194016
2016-06,387644.31269391795
2016-07,403580.54565187613
2016-08,403278.93022311345
2016-09,404398.03341834754
2016-10,404315.70390109916
2016-11,422198.16778345226
2016-12,436152.2869315066
2017-01,437727.1359957597
2017-02,456632.99278876104
