Date,Amundi Physical Gold ETC (C)
2000-09,18416.508154139618
2000-10,18534.38451151012
2000-11,18274.632302436275
2000-12,17277.72167349669
2001-01,16780.743433799875
2001-02,17000.553887786005
2001-03,17198.46060428078
2001-04,17472.975498216354
2001-05,18589.07145485552
2001-06,18802.172574232274
2001-07,17892.9208035572
2001-08,17560.050004133824
2001-09,18906.485164943475
2001-10,18155.456245122565
2001-11,18231.900404691358
2001-12,18472.280999813793
2002-01,19241.76945012473
2002-02,20198.358523361323
2002-03,20333.821403579463
2002-04,20134.500024650195
2002-05,20472.579600232664
2002-06,18785.405741391616
2002-07,18318.820636381388
2002-08,18710.954420819686
2002-09,19307.605387766987
2002-10,18891.9299887151
2002-11,18897.03250818527
2002-12,19214.34974343708
2003-01,19972.753341983072
2003-02,18940.132790921416
2003-03,18061.598174315208
2003-04,17776.709513045957
2003-05,17960.62394015542
2003-06,17787.43335773474
2003-07,18410.673796601313
2003-08,20187.944605007895
2003-09,19554.317894194028
2003-10,19513.92570350419
2003-11,19498.602092679143
2003-12,19392.826635748093
2004-01,18946.11137988105
2004-02,18707.535375434516
2004-03,20339.14887040249
2004-04,19079.278352194862
2004-05,18912.769325624347
2004-06,19100.384055027953
2004-07,19067.655787471173
2004-08,19719.48171130036
2004-09,19640.42610399063
2004-10,19587.94710589971
2004-11,19991.503761450298
2004-12,18847.763738744463
2005-01,18980.015575780253
2005-02,19247.76539941364
2005-03,19321.030992817923
2005-04,19699.85647144697
2005-05,19687.904346558887
2005-06,21171.80247097605
2005-07,20775.098180174307
2005-08,20797.7121718335
2005-09,23009.572790183767
2005-10,22921.315802223213
2005-11,24651.71496532516
2005-12,25450.996828595686
2006-01,27466.23754960307
2006-02,27396.523870156583
2006-03,28131.66865502537
2006-04,30049.887254177498
2006-05,29682.31562685984
2006-06,28223.12375375527
2006-07,28970.590574718983
2006-08,28368.06902584377
2006-09,27672.534022863798
2006-10,27797.822937770343
2006-11,28634.97362944463
2006-12,28208.447850238237
2007-01,29342.963746314785
2007-02,29374.435023429007
2007-03,29027.280551140193
2007-04,29066.13743623588
2007-05,28613.713734911875
2007-06,28128.04513318334
2007-07,28349.057490834042
2007-08,28626.57916845553
2007-09,30589.447387493958
2007-10,31897.07234712535
2007-11,30977.308964013966
2007-12,33158.76806458136
2008-01,36226.67004942253
2008-02,37368.92131030628
2008-03,34437.852127297796
2008-04,32690.269102574748
2008-05,33308.37516562794
2008-06,34409.533524010825
2008-07,34284.90965316706
2008-08,32955.61649035895
2008-09,36045.8812611615
2008-10,33384.63307525177
2008-11,37294.32836713867
2008-12,36215.31986695931
2009-01,41799.785050379716
2009-02,43860.69832120158
2009-03,40112.839230248086
2009-04,38748.656374355574
2009-05,40292.58171851824
2009-06,38495.74506863579
2009-07,38665.3619970554
2009-08,38970.54340228512
2009-09,39578.32496907632
2009-10,40893.684667028065
2009-11,45540.1225366108
